w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
1,1,Navada,Khategaon,M.P,Khategaon,Dewas,Khategaon,9-Apr-2017,Shiksha Kutir,"Gond (ST), Kewat(OBC)",
2,2,Eklera,Eklera,M.P,Satwas,Dewas,Kannod,1-Sep-2017,Study Center,"Korku,Bhilala & Bhil (ST)",
3,3,Devpura,Devpura,M.P,Ichhawar,Sehore,Ichhawar,8-Feb-2018,Study Center,Korku (ST),
4,4,Chhipaner,Machwas,M.P,Bhairunda,Sehore,Bhairunda,9-Feb-2018,Study Center,"Gond & Korku (ST), Ateriya & Damade (SC) ,Kewat(OBC)",
5,5,Silphodkheda,Machwas,M.P,Khategaon,Dewas,Khategaon,1-Mar-2018,Study Center,"Korku & Gond (ST), Harijan(SC)",
6,6,Dundalava,Devpura,M.P,Ichhawar,Sehore,Ichhawar,3-Mar-2018,Study Center,Korku (ST),
7,7,Bijabhairu,Devpura,M.P,Ichhawar,Sehore,Ichhawar,8-Mar-2018,Study Center,Bhil (ST),
8,8,Bedgaon,Eklera,M.P,Satwas,Dewas,Kannod,24-Mar-2018,Study Center,"Korku & Bhilala (ST),Gavli & Nayak (OBC)",
9,9,Jamli,Devpura,M.P,Ichhawar,Sehore,Ichhawar,1-Apr-2018,Study Center,Korku & Gond (ST),
10,,Nanasa,,M.P,Kannod,Dewas,Kannod,10-Apr-2018,Closed,"Gond (ST), Harijan & Balai (SC)",
11,,Sirsodiya,,M.P,Kannod,Dewas,Kannod,10-Apr-2018,Closed,"Gond (ST), Harijan & Balai (SC)",
12,,Sukras,,M.P,Khategaon,Dewas,Kannod,11-Apr-2018,Closed,"Korku & Gond (ST), Harijan & Balai (SC)",
13,10,Surani,Khategaon,M.P,Kannod,Dewas,Kannod,11-Apr-2018,Study Center,"Korku & Gond (ST), Harijan & Balai (SC)",
14,11,Bodassil,Mugwani,M.P,Ghughari,Mandla,Mohgaon,13-Apr-2018,Shiksha Kutir,Gond & Baiga (ST),
